userName;score;content
Pengguna Google;1;saya konsumen merasa kasian.sama yang udah berusaha ngutang mobil.untuk grab car.tapi malah argo ga ngotak ga bakal naik grab lagi
Pengguna Google;5;good performent👍👍👍
Pengguna Google;5;baik
Pengguna Google;5;sangat terbantu
Pengguna Google;5;top sangat membantu
Pengguna Google;5;good
Pengguna Google;5;cepat
Pengguna Google;5;keren mkacih
Pengguna Google;5;mantap
Pengguna Google;5;sangat membantu
Pengguna Google;5;mantap
Pengguna Google;5;top
Pengguna Google;3;tidak ada tema gelap tolong perbaharui aplikasi supaya bisa menggunakan fitur gelap(tema gelap).
Pengguna Google;5;supir nya baik dan nyaman
Pengguna Google;5;enak dan nyaman
Pengguna Google;5;sangat puas
Pengguna Google;4;Mohon agar Grab dapat lebih memperhatikan hal ini. Setiap kali saya memesan Car Plus dengan harapan mendapatkan mobil yang sesuai dengan biaya dan kelas layanannya, saya justru sering mendapatkan mobil yang sama seperti Car Standard. Padahal, ketika saya memilih Car Plus, bukan hanya karena jenis mobilnya, tetapi juga demi kenyamanan selama perjalanan, terutama untuk jarak jauh.
Pengguna Google;1;gara gara elu maleh di paido boloku, trs nek lamongan di perbanyak lagi grab nya atau ojol
Pengguna Google;4;tolong adain fitur cancel klo mau beli makann. huhuhu
Pengguna Google;5;penghasilan saya
Pengguna Google;5;sangat puas
Pengguna Google;5;bagus
Pengguna Google;1;kenapa update jadi wajib...? ngga di update juga asal bisa dipake ngga apa2 kan...?
Pengguna Google;5;good
Pengguna Google;5;aplikasi resmi
Pengguna Google;5;Bagus
Pengguna Google;5;mobilnya bersih dan drivernya ramah banget
Pengguna Google;5;sanggat sopan
Pengguna Google;1;aneh bgt grab tiba2 limit paylater ku jd 1 biasa nya 3jt, pdhal aq gak pernah telat byr ovopaylater nya. aneh kecewa bgt saya, pdhal saya suka bgt sm grab krn apa2 lbh murah.
Pengguna Google;5;sangat suka
Pengguna Google;4;oke
Pengguna Google;5;aman dan nyaman dgn grab
Pengguna Google;5;mantap 👍
Pengguna Google;5;bagus
Pengguna Google;5;sangat bermanfaat dan membantu 👍
Pengguna Google;1;MALAS2 KALI DRVER INI KALO UDAH HUJAN MAUPUN UDAH REDAH
Pengguna Google;5;tetap aktif
Pengguna Google;1;woiiii pelayanan lama buat cwe gw jadi terlambat dan kehujanan😡😡😡😡😡
